ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,listing_type,number_rented,revenue,latitude,longitude,is_superhost,number_of_reviews,2023_price,2023_predict_price,2024_price,2024_predict_price,2025_price,2025_predict_price,2026_price,2026_predict_price
53233210,3.00,3.00,5.00,Espaço inteiro: apartamento,28,35622.00,-27.13,-48.60,False,3,1272.21,1239.84,1320.69,1280.82,1373.38,1331.65,1428.32,1388.96
697731286424418606,3.00,3.00,6.00,Espaço inteiro: apartamento,28,35566.00,-27.14,-48.59,False,2,1270.21,1247.06,1318.61,1298.87,1371.22,1339.61,1426.07,1401.37
53997426,2.00,2.00,3.00,Espaço inteiro: apartamento,127,35560.00,-27.14,-48.60,False,5,280.00,287.61,290.67,296.31,302.27,309.52,314.36,321.70
27865733,2.00,3.00,5.00,Espaço inteiro: apartamento,48,35550.00,-27.10,-48.61,False,1,740.62,730.90,768.84,751.61,799.52,786.23,831.50,818.71
45889892,2.00,2.00,4.00,Espaço inteiro: apartamento,66,35371.00,-27.13,-48.60,True,32,535.92,540.13,556.34,563.99,578.54,585.66,601.68,610.70
26996424,3.00,3.00,3.00,Espaço inteiro: apartamento,99,35350.00,-27.13,-48.61,False,0,357.07,404.43,370.68,411.55,385.47,431.32,400.88,453.30
21743476,3.00,3.00,3.00,Espaço inteiro: condomínio,65,35240.00,-27.14,-48.59,False,10,542.15,575.97,562.81,600.45,585.27,618.22,608.68,648.91
638192656148242663,2.00,3.00,4.00,Espaço inteiro: apartamento,62,35042.00,-27.13,-48.60,False,0,565.19,562.11,586.73,583.37,610.14,608.55,634.54,629.96
18506998,2.00,2.00,3.00,Espaço inteiro: apartamento,49,35000.00,-27.10,-48.61,False,0,714.29,712.12,741.50,728.70,771.09,765.57,801.93,792.87
46371374,3.00,2.00,2.00,Espaço inteiro: apartamento,36,34960.00,-27.12,-48.61,False,4,971.11,961.29,1008.11,998.69,1048.33,1035.28,1090.27,1079.24
53603293,2.00,2.00,2.00,Espaço inteiro: apartamento,77,34650.00,-27.13,-48.61,False,2,450.00,461.89,467.14,478.65,485.78,499.39,505.22,520.84
47089646,2.00,2.00,4.00,Espaço inteiro: apartamento,56,34523.00,-27.10,-48.62,True,5,616.48,604.12,639.97,626.90,665.50,657.18,692.13,683.14
38843637,5.00,5.00,6.00,Espaço inteiro: apartamento,21,34500.00,-27.12,-48.60,False,0,1642.86,1634.32,1705.45,1709.05,1773.50,1770.44,1844.44,1838.39
41122722,5.00,4.00,6.00,Espaço inteiro: apartamento,23,34500.00,-27.13,-48.60,True,12,1500.00,1538.77,1557.15,1619.07,1619.28,1685.61,1684.05,1733.76
20563444,1.00,1.00,4.00,Espaço inteiro: apartamento,336,34480.00,-27.10,-48.62,False,14,102.62,106.61,106.53,110.77,110.78,115.26,115.21,119.87
45803876,3.00,3.00,3.00,Espaço inteiro: apartamento,47,34441.00,-27.12,-48.61,True,15,732.79,763.18,760.71,789.00,791.06,823.69,822.70,854.32
45672403,2.00,3.00,8.00,Espaço inteiro: apartamento,47,34430.00,-27.13,-48.60,False,22,732.55,728.59,760.46,754.22,790.81,785.05,822.44,814.22
48379021,2.00,3.00,3.00,Espaço inteiro: apartamento,83,34375.00,-27.15,-48.57,True,14,414.16,424.92,429.94,439.51,447.09,457.51,464.97,478.96
680547712751833980,1.00,4.00,4.00,Espaço inteiro: apartamento,34,34340.00,-27.14,-48.60,False,0,1010.00,1046.76,1048.48,1083.69,1090.32,1122.92,1133.93,1161.42
40225576,4.00,4.00,5.00,Espaço inteiro: apartamento,23,34188.00,-27.13,-48.61,False,1,1486.43,1470.27,1543.07,1537.75,1604.64,1585.05,1668.82,1642.39
31397917,1.00,1.00,1.00,Espaço inteiro: apartamento,281,34130.00,-27.13,-48.61,False,125,121.46,117.26,126.09,122.07,131.12,127.37,136.36,132.78
53491847,3.00,3.00,3.00,Espaço inteiro: apartamento,82,34030.00,-27.14,-48.60,False,3,415.00,442.45,430.81,464.85,448.00,484.02,465.92,496.17
53275562,3.00,3.00,6.00,Espaço inteiro: apartamento,22,34000.00,-27.13,-48.60,False,4,1545.45,1425.62,1604.34,1502.40,1668.35,1555.64,1735.08,1609.92
24404503,2.00,3.00,4.00,Espaço inteiro: apartamento,77,34000.00,-27.12,-48.61,False,19,441.56,451.19,458.38,467.51,476.67,487.29,495.74,505.98
53169136,2.00,3.00,0.00,Espaço inteiro: apartamento,73,33990.00,-27.10,-48.62,False,0,465.62,472.64,483.36,491.12,502.64,510.06,522.75,531.80
29365238,1.00,2.00,4.00,Espaço inteiro: apartamento,295,33975.00,-27.09,-48.62,True,17,115.17,114.80,119.56,118.98,124.33,123.97,129.30,128.41
48169521,2.00,2.00,3.00,Espaço inteiro: apartamento,72,33950.00,-27.13,-48.61,False,1,471.53,476.72,489.49,495.25,509.02,515.37,529.38,535.42
40586927,1.00,3.00,3.00,Espaço inteiro: apartamento,84,33600.00,-27.15,-48.58,False,6,400.00,399.79,415.24,418.63,431.81,437.63,449.08,452.63
50047341,2.00,3.00,5.00,Espaço inteiro: apartamento,117,33566.00,-27.13,-48.60,True,23,286.89,303.58,297.82,319.33,309.70,329.70,322.09,345.68
769611751302045150,1.00,2.60,2.00,Espaço inteiro: apartamento,155,33480.00,-27.12,-48.62,False,0,216.00,226.51,224.23,238.86,233.18,247.44,242.50,254.87
16791584,2.00,4.00,5.00,Espaço inteiro: casa,92,33340.00,-27.16,-48.57,True,11,362.39,362.17,376.20,374.00,391.21,390.31,406.86,408.78
50795879,2.00,2.00,2.00,Espaço inteiro: apartamento,68,33320.00,-27.14,-48.60,False,9,490.00,491.52,508.67,506.20,528.96,530.92,550.12,549.21
525472560929976068,3.00,4.00,4.00,Espaço inteiro: apartamento,35,33290.00,-27.14,-48.59,False,3,951.14,979.39,987.38,1026.77,1026.78,1057.33,1067.85,1098.99
21632405,2.00,3.00,4.00,Espaço inteiro: apartamento,56,33200.00,-27.13,-48.60,True,5,592.86,579.11,615.45,600.72,640.00,626.40,665.60,649.96
33497482,2.00,2.00,4.00,Espaço inteiro: apartamento,69,33160.00,-27.10,-48.62,False,30,480.58,489.77,498.89,508.63,518.80,530.27,539.55,550.67
51405106,3.00,3.00,5.00,Espaço inteiro: apartamento,39,33130.00,-27.14,-48.59,False,10,849.49,847.10,881.85,883.17,917.04,922.21,953.72,959.12
612245203931813020,3.00,4.00,4.00,Espaço inteiro: apartamento,39,33000.00,-27.13,-48.60,False,2,846.15,878.27,878.39,908.29,913.44,947.42,949.98,978.19
673825002694927178,4.00,3.00,3.00,Espaço inteiro: apartamento,31,32900.00,-27.13,-48.60,False,2,1061.29,1073.42,1101.73,1117.87,1145.68,1163.18,1191.51,1209.35
48378774,2.00,3.00,4.00,Espaço inteiro: apartamento,63,32590.00,-27.15,-48.57,True,4,517.30,505.31,537.01,529.55,558.44,548.98,580.78,567.66
38616586,2.00,3.00,3.00,Espaço inteiro: apartamento,56,32460.00,-27.13,-48.61,False,7,579.64,567.04,601.73,587.61,625.74,614.00,650.77,636.31
15934309,2.00,3.00,3.00,Espaço inteiro: apartamento,33,32400.00,-27.13,-48.60,False,28,981.82,1001.32,1019.23,1049.36,1059.89,1078.84,1102.29,1113.50
679166677359467385,2.00,3.00,4.00,Espaço inteiro: apartamento,22,32330.00,-27.13,-48.59,False,0,1469.55,1341.29,1525.54,1396.10,1586.40,1450.39,1649.86,1506.22
21610715,2.00,2.00,2.00,Espaço inteiro: casa,90,32150.00,-27.06,-48.59,False,5,357.22,356.63,370.83,368.50,385.63,382.89,401.05,400.95
726040380549245538,1.00,1.00,2.00,Quarto inteiro em apartamento,306,32040.00,-27.11,-48.61,False,0,104.71,103.67,108.70,107.63,113.03,111.27,117.55,116.25
29302246,1.00,2.00,4.00,Espaço inteiro: apartamento,291,32026.00,-27.09,-48.62,True,38,110.05,110.75,114.25,114.65,118.81,118.40,123.56,123.24
738386989138220837,2.00,2.00,2.00,Espaço inteiro: apartamento,36,32000.00,-27.14,-48.59,False,0,888.89,867.38,922.76,901.89,959.57,933.80,997.96,973.55
29460395,1.00,1.00,4.00,Espaço inteiro: condomínio,187,31977.00,-27.12,-48.63,False,3,171.00,177.25,177.52,184.66,184.60,190.47,191.98,198.99
38262480,3.00,4.00,6.00,Espaço inteiro: condomínio,37,31750.00,-27.14,-48.59,True,28,858.11,890.72,890.80,930.24,926.35,965.14,963.40,1004.04
45910353,4.00,3.00,6.00,Espaço inteiro: condomínio,20,31600.00,-27.10,-48.61,False,0,1580.00,1532.39,1640.20,1584.21,1705.64,1634.90,1773.87,1712.96
46918672,2.00,3.00,3.00,Espaço inteiro: casa,90,31500.00,-27.13,-48.60,False,9,350.00,348.43,363.34,362.66,377.83,378.52,392.95,395.52
686743101124580615,4.00,3.00,3.00,Espaço inteiro: apartamento,31,31500.00,-27.13,-48.60,True,0,1016.13,1047.52,1054.84,1083.27,1096.93,1132.95,1140.81,1184.49
755606045332852687,3.00,4.00,5.00,Espaço inteiro: apartamento,26,31300.00,-27.12,-48.61,False,0,1203.85,1185.01,1249.71,1236.95,1299.58,1282.89,1351.56,1342.19
593582944300707685,2.00,3.00,4.00,Espaço inteiro: apartamento,38,30960.00,-27.12,-48.61,False,0,814.74,806.39,845.78,836.59,879.52,868.43,914.71,905.86
27718978,4.00,4.00,4.00,Espaço inteiro: apartamento,24,30946.00,-27.13,-48.60,False,5,1289.42,1340.36,1338.54,1387.80,1391.95,1440.00,1447.63,1501.31
42040998,2.00,2.00,4.00,Espaço inteiro: apartamento,57,30898.00,-27.13,-48.60,False,1,542.07,536.74,562.72,558.63,585.18,580.43,608.58,601.07
674451017818535244,2.00,3.00,3.00,Espaço inteiro: apartamento,42,30874.00,-27.12,-48.61,False,1,735.10,756.03,763.10,781.20,793.55,811.89,825.29,843.26
22448710,4.00,4.00,8.00,Espaço inteiro: apartamento,22,30800.00,-27.12,-48.61,False,8,1400.00,1419.18,1453.34,1477.41,1511.33,1540.19,1571.78,1591.99
51983017,1.00,2.00,2.00,Espaço inteiro: apartamento,49,30760.00,-27.14,-48.59,False,5,627.76,625.31,651.67,651.59,677.67,675.85,704.78,703.15
51172833,1.00,1.00,2.00,Quarto inteiro em apartamento,298,30730.00,-27.14,-48.59,True,36,103.12,104.07,107.05,108.14,111.32,112.60,115.77,116.51
655649152790814376,2.00,3.00,3.00,Espaço inteiro: apartamento,66,30610.00,-27.14,-48.60,False,2,463.79,472.22,481.46,489.72,500.67,511.76,520.70,527.19
735257283376748431,2.00,3.00,4.00,Espaço inteiro: apartamento,34,30600.00,-27.07,-48.59,False,0,900.00,951.93,934.29,986.03,971.57,1001.17,1010.43,1069.29
1977915,2.00,3.00,3.00,Espaço inteiro: apartamento,42,30600.00,-27.13,-48.60,False,32,728.57,751.51,756.33,784.23,786.51,807.60,817.97,853.23
709245197514952702,2.00,3.00,6.00,Espaço inteiro: apartamento,28,30520.00,-27.14,-48.59,False,0,1090.00,1097.18,1131.53,1154.16,1176.68,1193.50,1223.74,1239.05
734843676958831992,2.00,2.00,3.00,Espaço inteiro: apartamento,56,30420.00,-27.12,-48.60,False,0,543.21,540.26,563.91,557.98,586.41,581.19,609.87,607.50
3977675,1.00,2.60,3.00,Espaço inteiro: apartamento,336,30240.00,-27.14,-48.60,False,17,90.00,95.43,93.43,99.60,97.16,103.65,101.04,107.75
631793130259333199,1.00,1.00,1.00,Espaço inteiro: apartamento,336,30240.00,-27.13,-48.60,False,5,90.00,92.57,93.43,96.34,97.16,100.03,101.04,104.45
52874992,5.00,5.00,5.00,Espaço inteiro: apartamento,21,30130.00,-27.13,-48.61,False,1,1434.76,1530.34,1489.43,1579.64,1548.85,1651.21,1610.81,1720.21
23299596,1.00,2.00,2.00,Espaço inteiro: apartamento,274,29917.00,-27.13,-48.60,True,112,109.19,106.60,113.35,111.03,117.87,115.65,122.58,119.79
53229755,3.00,3.00,6.00,Espaço inteiro: apartamento,17,29900.00,-27.13,-48.60,False,3,1758.82,1609.52,1825.83,1671.69,1898.69,1758.57,1974.63,1812.54
747114691595591344,2.00,3.00,3.00,Espaço inteiro: apartamento,40,29780.00,-27.11,-48.61,False,0,744.50,781.31,772.87,805.16,803.70,839.95,835.85,885.31
53133078,3.00,3.00,3.00,Espaço inteiro: apartamento,41,29770.00,-27.13,-48.61,False,1,726.10,763.05,753.76,789.35,783.84,826.53,815.19,855.69
