ad_id,ad_name,ad_description,number_of_bathrooms,number_of_bedrooms,number_of_beds,listing_type,average_price,number_rented,revenue,latitude,longitude
27022969,"Apartamento cobertura 4 quartos , 3 vagas garagem",Converse pelo chat para negociar e economizar nas taxas  Incrível apt.  Grande muito espaço.  Vista para o mar.  Cobertura.  4 quartos . 3 vagas garagem.   Super bem localizado.   Alto padrão  aviso prefeitura mudou o numero do prédio para 153,4.00,4.00,6.00,Espaço inteiro: condomínio,1422.21,332,472175.00,-27.14,-48.59
53110869,401-Apartamento encantador- rua 279,"Para quem quer férias memoráveis com vista para o mar. Situado no 4andar do edifício com elevador e 135m² área privativa Wi-fi. Possui ar condicionado em todos quartos. cama casal: 04  Beliche: 01 Colchão avulso: 01 Cozinha com fogão e forno, geladeira biplex, freezer, microondas, exaustor.  Lavanderia com lavadora.  Amplo living com Internet. Churrasqueira em Sacada fechada. Garagem com 8 metros para dois carros médios  Roupa de cama, toalhas e cobertores podem ser locados ou excluída a taxa",3.00,4.00,6.00,Espaço inteiro: apartamento,1585.86,297,471000.00,-27.14,-48.59
22644446,Casa alto padrão praia Perequê,"Casa alto padrão 300mt praia Perequê Porto.  Piscina, amplo espaço gourmet , garagem para quatro carros ,",4.00,4.00,5.00,Espaço inteiro: casa,1721.61,273,470000.00,-27.15,-48.58
53415208,Ampla cobertura vista mar 50m da praia,"Ampla cobertura de 280m2, finamente mobiliada e decorada  e com vista total para a Praia de Perequê, conta com uma excelente localização, apenas 50m do mar, os hospedes podem aproveitar toda essa comodidade e ter uma experiência incrível durante toda sua estadia.   Já pensou acordar e a primeira coisa a ver é o mar azul? A suíte master possui essa maravilhosa vista para os hospedes vislumbrarem.",3.00,3.00,6.00,Espaço inteiro: apartamento,1505.12,311,468092.00,-27.15,-48.57
762338546343135858,Apt meia praia com 4 suítes,"O grupo terá fácil acesso a tudo o que precisar neste lugar com excelente localização. Fica 3 min a pé do centro e 5 min da praia, o apartamento é ideal pra curtir as férias, muito confortável e perto de tudo, fica 5min a pé do mercado. Tem lojinhas perto e a noite tem muita variedade de comida, temos 3 vagas de garagem e a praia é linda, grande extensão de areia, vem aproveitar suas férias estamos esperando por vocês. 🥰🌊🏝️☀️❤️",4.00,4.00,4.00,Espaço inteiro: apartamento,2300.00,203,466900.00,-27.13,-48.61
46598066,Vista mar incrível na praia do Centro de Itapema!,"Apartamento novo, em prédio de alto padrão, completo, com maravilhosa vista para o mar, localizado no local mais cobiçado de Itapema. O apartamento possui 3 suítes completas (mas só ficam duas disponíveis, uma permanece trancada com nossos pertences), 1 lavabo, sala e cozinha integradas com churrasqueira a carvão na sacada.  Disponibilizamos 2 bicicletas para passeios no calçadão.  Prédio de alto padrão, extremamente bem localizado, com o máximo de conforto!",2.00,2.00,2.00,Espaço inteiro: apartamento,1438.52,318,457450.00,-27.09,-48.61
46001198,APARTAMENTO ALTO PADRÃO 3 SUITES,"APARTAMENTO ALTO COM VISTA PRIVILEGIADA, 3 SUITES.",4.00,3.00,3.00,Espaço inteiro: apartamento,1500.00,303,454500.00,-27.14,-48.60
15980108,Cobertura com Piscina frente Mar em Meia Praia,"O nosso apartamento é uma cobertura de frente para o mar em uma das regiões mais belas de Santa Catarina. Possui espaço amplo para uma excelente confraternização com sua família e amigos. O apartamento tem 280 m2 de área útil, 4 quartos, 1 varanda, 1 ampla sacada com churrasqueira e piscina, Sala com TV e WIFI e garagem com vaga para 1 carro. OBS: Atualmente o nosso bloco está em reformas para melhorias, porém não atrapalha em nada a estadia.",3.00,4.00,5.00,Espaço inteiro: apartamento,1499.99,301,451496.00,-27.12,-48.61
52666674,Duplex pé na areia com vista deslumbrante RAT001,"Experiência inesquecível de se hospedar de frente para o mar em um duplex moderno e aconchegante, pensado nos mínimos detalhes para garantir a estadia perfeita!  No térreo há um amplo ambiente em conceito aberto, com vista para a praia e piscina de uso comum do condomínio. No segundo andar, 3 quartos, sendo 2 com sacada e visual incrível do mar.  Está localizado no centro de Perequê, em Porto Belo, a 5min de Meia Praia e perto de Bombinhas. Possui mercado e restaurantes a poucos metros do local.",2.00,3.00,5.00,Espaço inteiro: casa,837.20,533,446229.00,-27.15,-48.57
760964672507631048,Cobertura quadra mar em Meia Praia,"3 quartos, sendo 1 suíte, 1  banheiro social.  3 camas de casal  e 1 cama de solteiro. Mais 2 colchões de casal e 2 colchões de solteiro.  Sala, cozinha completa, com freezer.   Churrasqueira com espeto e grelha.  4 andar sem elevador 2 sacadas enormes. Uma com visita para o mar e outra para avenida principal.  Próxima a mercados, farmácia, MC Donald's e shopping.  1 vaga de garragem.  Alugo entre os dias 02.01 a  15.01  minino de 10 dias, R$1300,00 a diária mais 300 reias de taxa de limpeza.",1.00,3.00,4.00,Espaço inteiro: apartamento,1300.00,343,445900.00,-27.13,-48.60
41260111,501-Bom demais - Rua 279 Meia Praia- 30 mt do mar,"Excelente apartamento com vista para o mar com 135m² área privativa Situado no 5 andar do edifício com elevador.  Bem ventilado. Wi-Fi. Com três Televisões.  Possui ar condicionado nas 2(duas)suítes e nos 2(dois)quartos.  Cozinha com fogão e forno, geladeira biplex,  freezer, microondas, exaustor.  Lavanderia com lavadora .  Amplo living com Internet. Churrasqueira em Sacada fechada. Garagem para dois carros médios  Roupas de cama e toalhas podem ser alugados: R$400,00.",3.00,4.00,6.00,Espaço inteiro: apartamento,1570.32,283,444400.00,-27.14,-48.59
41762297,Huge and comfortable house for families and groups,"Very comfortable and spacious house in Canto da Praia, Itapema for big families and groups.  Large gourmet area for churrasco and gathering.   Around 900mts from the Beach, 10-minute walk, almost a straight line.  Beach is clean and really calm, perfect for kids and the elderly, also possible to kayaking, stand-up paddling with restaurants and bars by the sand.",3.00,6.00,10.00,Espaço inteiro: casa,1500.00,296,444000.00,-27.08,-48.61
46004371,"AP LUXUOSO,  ALTO PADRÃO","Ap alto padrão,  3 suítes climatizados +1 lavabo. Ar condicionado em todos os cômodos do ap. Duas vagas de garagem,  sacada fechada reik, com churrasqueira, 2 elevadores , cozinha completa, wi fi,  TV .  Localizado à 200 metros da praia,  perto de bancos,  farmácia,  supermercados,  shoppings, no bairro Meia Praia,   rua de ascesso a BR 101. Casa completa com todos os utensílios domésticos. Capacidade para 6 pessoas.",4.00,3.00,3.00,Espaço inteiro: apartamento,1077.18,412,443800.00,-27.13,-48.61
53600687,APTO NA MEIA PRAIA COM LINDA VISTA PARA O MAR,"Apartamento localizado a poucos metros do calçadão e da orla da Meia Praia. Localizado próximo a mercados, padarias e ótimos restaurantes. Apenas 900 metros até o Shopping Rossi Russi. Possui 03 dormitórios sendo 02 suítes, todos climatizados. Possui churrasqueira, mesa com 08 lugares, tv 43` e duas vagas de garagem privativas e cobertas. Vista mar de todos os cômodos.",3.00,3.00,4.00,Espaço inteiro: apartamento,1100.00,397,436700.00,-27.12,-48.61
41126139,Aconchegante apartamento em Itapema (SC).,"Apartamento a 50 metros do mar no centro de Itapema (SC) junto a Avenida principal próximo a supermercado, padaria, restaurantes, lancherias. Internet 50 mega de velocidade dedicados, 01 vaga na garagem, ventilador de teto em todos os cômodos, ar condicionado nos dormitórios. Tela de proteção para crianças na sacada e no quarto 2.",0.00,,3.00,Espaço inteiro: apartamento,1300.00,335,435500.00,-27.10,-48.62
705616984672526675,Casa espaçosa na praia do canto,"Sua família vai estar perto de tudo ao ficar neste lugar bem-localizado. Casa na melhor praia de Itapema, a praia do canto. Lugar tranquilo, agradável, seguro e próxima ao centro 2 minutos da orla central e da ponte do suspiro.",2.00,4.00,10.00,Espaço inteiro: casa,1687.25,255,430250.00,-27.09,-48.61
41702158,Cobertura com vista incrível para o Mar,"Cobertura de frente para o mar em Meia-Praia/Itapema, com 4 quartos (3 deles com sacada), 3 banheiros, área externa grande com sacada e churrasqueira, 2 vagas de garagem. Sala de jantar, sala de estar, cosinha grande e espaçosa. Todos os comodos sao bem arejados.",3.00,4.00,6.00,Espaço inteiro: apartamento,1180.77,364,429801.00,-27.12,-48.61
675157595421753060,Pé na Areia frente mar centro  Itapema área nobre!,"Varanda gourmet frente ao mar perfeita para relaxar só ou com pessoas queridas, jogar conversa fora, ler, contemplar e se deliciar com bons drinks!  Conforto e independência em amplo apto frente mar no centro da Praia de Itapema em prédio familiar, 3 suítes e 3 garagens, a 10 km de Camboriú, e perto de tudo. A vista é deslumbrante, faz sonhar... Amanheça e anoiteça sob o encantador barulho e visão do mar, criando memórias inesquecíveis em família e entre amigos!!",3.00,3.00,7.00,Espaço inteiro: apartamento,1986.05,215,427000.00,-27.11,-48.61
735756948744314725,Apartamento amplo para toda a família com 3 suítes,"No coração do Bairro Meia Praia, ao lado da praia (80m), próximo de farmácias, restaurantes, academias, padarias e supermercado.  Apartamento Novo com três suítes sendo camas queen, em condomínio com excelente infraestrutura e garagem privativa coberta para dois carros.   Quartos e sala com ar-condicionado, cozinha equipada, ampla sala de estar e jantar e uma varanda gourmet para reunir toda a família!  Possui internet Wi-Fi, smart TVs com acesso à Globoplay, PrimeVídeo e Netflix.",4.00,3.00,4.00,Espaço inteiro: apartamento,1461.34,292,426710.00,-27.13,-48.60
723164126700176207,Apto 4 quartos espaçoso localização excelente,O grupo terá fácil acesso a tudo o que precisar neste lugar com excelente localização.,3.00,4.00,8.00,Espaço inteiro: apartamento,1657.39,257,425950.00,-27.14,-48.60
53189515,Cobertura Baden Baden vista montanhas - L.mar,Relaxe com toda a família nesta acomodação tranquila.,3.00,3.00,3.00,Espaço inteiro: apartamento,1223.12,346,423200.00,-27.15,-48.58
10982940,"Alto padrão: 4 suítes, 13 andar, 100m do mar.","Alto padrão a apenas 180m da praia. Cozinha completa, sacada ampla com churrasqueira, 4 suítes e 3 vagas de garagem cobertas.",4.00,4.00,5.00,Espaço inteiro: apartamento,1411.19,295,416300.00,-27.14,-48.59
46329896,Residencial Brasil Centro de Meia Praia 3 suítes,nan,4.00,3.00,3.00,Espaço inteiro: apartamento,1102.15,376,414410.00,-27.13,-48.60
42709958,apto nilza 501,"meia praia itapema, temos uma ótima praia, com calçadão, com ciclovia, alugueis de bicicleta, triciclo e outros.",2.00,2.00,2.00,Espaço inteiro: apartamento,1095.01,376,411725.00,-27.13,-48.60
